div_epoch,div_step,epoch,mean_l1_norm_epoch,mean_l1_norm_step,step,train_acc_epoch,train_acc_step,train_actual_label_0,train_actual_label_1,train_actual_label_2,train_actual_label_3,train_actual_label_4,train_loss_epoch,train_loss_step_epoch,train_loss_step_step,train_pred_label_0,train_pred_label_1,train_pred_label_2,train_pred_label_3,train_pred_label_4,training_loss_epoch,training_loss_step,val_acc,val_actual_label_0,val_actual_label_1,val_actual_label_2,val_actual_label_3,val_loss,val_pred_label_0,val_pred_label_1,val_pred_label_2,val_pred_label_3
,-2.556708574295044,0,,75.0,0,,0.8461538553237915,0.0,0.0,1.0,0.0,0.0,,,8.004772186279297,0.0,0.0,1.0,1.0,0.0,,8.054204940795898,,,,,,,,,,
-2.556708812713623,,0,75.0,,0,0.8461538553237915,,,,,,,8.054204940795898,8.004772186279297,,,,,,,8.054204940795898,,,,,,,,,,,
,-2.5556657314300537,1,,75.91999816894531,1,,0.692307710647583,0.0,1.0,0.0,0.0,0.0,,,7.966175556182861,0.0,0.0,1.0,0.0,0.0,,8.016538619995117,,,,,,,,,,
-2.5556657314300537,,1,75.91999816894531,,1,0.692307710647583,,,,,,,8.016538619995117,7.966175556182861,,,,,,,8.016538619995117,,,,,,,,,,,
,-2.5552492141723633,2,,75.54386138916016,2,,0.8461538553237915,1.0,1.0,1.0,1.0,0.0,,,7.74278450012207,1.0,1.0,0.0,1.0,0.0,,7.792776107788086,,,,,,,,,,
-2.5552492141723633,,2,75.54386138916016,,2,0.8461538553237915,,,,,,,7.792776107788086,7.74278450012207,,,,,,,7.792776107788086,,,,,,,,,,,
,-2.554928779602051,3,,75.9884033203125,3,,0.8461538553237915,0.0,1.0,1.0,1.0,0.0,,,9.065876960754395,0.0,1.0,1.0,1.0,0.0,,9.116316795349121,,,,,,,,,,
-2.554928779602051,,3,75.9884033203125,,3,0.8461538553237915,,,,,,,9.116316795349121,9.065876960754395,,,,,,,9.116316795349121,,,,,,,,,,,
,-2.5548434257507324,4,,75.7871322631836,4,,0.7692307829856873,1.0,0.0,1.0,1.0,1.0,,,7.909583568572998,0.0,1.0,1.0,1.0,0.0,,7.959822177886963,,,,,,,,,,
,,4,,,4,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,25.1724853515625,0.0,0.0,1.0,0.0
-2.5548434257507324,,4,75.7871322631836,,4,0.7692307829856873,,,,,,,7.959822177886963,7.909583568572998,,,,,,,7.959822654724121,,,,,,,,,,,
,-2.554859161376953,5,,75.55577087402344,5,,0.8461538553237915,0.0,1.0,0.0,0.0,0.0,,,7.517241954803467,0.0,1.0,0.0,0.0,1.0,,7.567249298095703,,,,,,,,,,
-2.554859161376953,,5,75.55577087402344,,5,0.8461538553237915,,,,,,,7.567249298095703,7.517241954803467,,,,,,,7.567248821258545,,,,,,,,,,,
,-2.554894208908081,6,,75.8826904296875,6,,0.7692307829856873,0.0,1.0,0.0,1.0,1.0,,,7.410964488983154,0.0,1.0,1.0,1.0,1.0,,7.46129846572876,,,,,,,,,,
-2.554893970489502,,6,75.8826904296875,,6,0.7692307829856873,,,,,,,7.46129846572876,7.410964488983154,,,,,,,7.46129846572876,,,,,,,,,,,
,-2.554868221282959,7,,76.25599670410156,7,,0.692307710647583,0.0,0.0,1.0,1.0,1.0,,,8.240395545959473,0.0,1.0,0.0,1.0,1.0,,8.291102409362793,,,,,,,,,,
-2.554868221282959,,7,76.25599670410156,,7,0.692307710647583,,,,,,,8.291102409362793,8.240395545959473,,,,,,,8.291102409362793,,,,,,,,,,,
,-2.554682731628418,8,,76.20295715332031,8,,0.692307710647583,0.0,1.0,0.0,1.0,0.0,,,7.921350955963135,0.0,0.0,1.0,1.0,0.0,,7.972006797790527,,,,,,,,,,
-2.554682731628418,,8,76.20295715332031,,8,0.692307710647583,,,,,,,7.972006797790527,7.921350955963135,,,,,,,7.972006797790527,,,,,,,,,,,
,-2.5543994903564453,9,,75.86625671386719,9,,0.8461538553237915,1.0,1.0,1.0,1.0,0.0,,,7.210250377655029,1.0,0.0,1.0,1.0,0.0,,7.26057243347168,,,,,,,,,,
,,9,,,9,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,24.158935546875,0.0,0.0,1.0,0.0
-2.554399251937866,,9,75.86625671386719,,9,0.8461538553237915,,,,,,,7.26057243347168,7.210250377655029,,,,,,,7.26057243347168,,,,,,,,,,,
,-2.5541305541992188,10,,75.731201171875,10,,0.8461538553237915,0.0,1.0,1.0,1.0,1.0,,,7.216440677642822,0.0,1.0,1.0,1.0,0.0,,7.26663064956665,,,,,,,,,,
-2.5541305541992188,,10,75.731201171875,,10,0.8461538553237915,,,,,,,7.26663064956665,7.216440677642822,,,,,,,7.266631126403809,,,,,,,,,,,
,-2.553877830505371,11,,75.92430877685547,11,,0.8461538553237915,0.0,0.0,1.0,0.0,0.0,,,7.217613697052002,0.0,0.0,1.0,0.0,0.0,,7.267999172210693,,,,,,,,,,
-2.553877830505371,,11,75.92430877685547,,11,0.8461538553237915,,,,,,,7.267999172210693,7.217613697052002,,,,,,,7.267998695373535,,,,,,,,,,,
,-2.5536372661590576,12,,76.11619567871094,12,,0.8461538553237915,1.0,0.0,0.0,1.0,0.0,,,7.208839416503906,1.0,0.0,0.0,0.0,0.0,,7.259418964385986,,,,,,,,,,
-2.5536372661590576,,12,76.11619567871094,,12,0.8461538553237915,,,,,,,7.259418964385986,7.208839416503906,,,,,,,7.259418964385986,,,,,,,,,,,
,-2.5534114837646484,13,,76.29056549072266,13,,0.7692307829856873,0.0,0.0,1.0,1.0,0.0,,,7.311060905456543,0.0,0.0,1.0,1.0,0.0,,7.361817359924316,,,,,,,,,,
-2.5534117221832275,,13,76.29056549072266,,13,0.7692307829856873,,,,,,,7.361817359924316,7.311060905456543,,,,,,,7.361817359924316,,,,,,,,,,,
,-2.5532445907592773,14,,76.32005310058594,14,,0.8461538553237915,0.0,0.0,1.0,1.0,0.0,,,7.155468940734863,0.0,0.0,1.0,1.0,0.0,,7.206256866455078,,,,,,,,,,
,,14,,,14,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,26.81427001953125,0.0,0.0,1.0,0.0
-2.5532445907592773,,14,76.32005310058594,,14,0.8461538553237915,,,,,,,7.206256866455078,7.155468940734863,,,,,,,7.20625638961792,,,,,,,,,,,
,-2.553117275238037,15,,76.2782974243164,15,,0.8461538553237915,0.0,1.0,0.0,1.0,1.0,,,6.997096061706543,0.0,1.0,0.0,1.0,1.0,,7.047842979431152,,,,,,,,,,
-2.553117275238037,,15,76.2782974243164,,15,0.8461538553237915,,,,,,,7.047842979431152,6.997096061706543,,,,,,,7.047842979431152,,,,,,,,,,,
,-2.552989959716797,16,,76.23749542236328,16,,0.8461538553237915,0.0,0.0,0.0,1.0,0.0,,,6.88857364654541,0.0,0.0,0.0,1.0,0.0,,6.939281463623047,,,,,,,,,,
-2.552989959716797,,16,76.23749542236328,,16,0.8461538553237915,,,,,,,6.939281463623047,6.88857364654541,,,,,,,6.939281940460205,,,,,,,,,,,
,-2.5528688430786133,17,,76.1962890625,17,,0.8461538553237915,1.0,0.0,0.0,1.0,0.0,,,6.778425216674805,1.0,0.0,0.0,1.0,0.0,,6.829092502593994,,,,,,,,,,
-2.5528688430786133,,17,76.1962890625,,17,0.8461538553237915,,,,,,,6.829092502593994,6.778425216674805,,,,,,,6.829092979431152,,,,,,,,,,,
,-2.5527467727661133,18,,76.15689086914062,18,,0.8461538553237915,0.0,0.0,1.0,0.0,1.0,,,6.665221214294434,0.0,0.0,1.0,0.0,1.0,,6.715850830078125,,,,,,,,,,
-2.5527467727661133,,18,76.15689086914062,,18,0.8461538553237915,,,,,,,6.715850830078125,6.665221214294434,,,,,,,6.715850830078125,,,,,,,,,,,
,-2.5526328086853027,19,,76.21891784667969,19,,0.8461538553237915,0.0,1.0,1.0,0.0,0.0,,,6.5525922775268555,0.0,1.0,1.0,0.0,0.0,,6.60328483581543,,,,,,,,,,
,,19,,,19,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,1.0,1.0,20.73907470703125,0.0,0.0,1.0,0.0
-2.5526328086853027,,19,76.21891784667969,,19,0.8461538553237915,,,,,,,6.60328483581543,6.5525922775268555,,,,,,,6.60328483581543,,,,,,,,,,,
,-2.552518844604492,20,,76.41847229003906,20,,0.7692307829856873,0.0,0.0,0.0,1.0,0.0,,,6.531335830688477,0.0,0.0,1.0,1.0,0.0,,6.582229137420654,,,,,,,,,,
-2.5525190830230713,,20,76.41847229003906,,20,0.7692307829856873,,,,,,,6.582229137420654,6.531335830688477,,,,,,,6.582229137420654,,,,,,,,,,,
,-2.552347183227539,21,,76.52397155761719,21,,0.7692307829856873,0.0,0.0,0.0,0.0,0.0,,,6.538788795471191,0.0,1.0,0.0,0.0,0.0,,6.589788913726807,,,,,,,,,,
