div_epoch,div_step,epoch,mean_l1_norm_epoch,mean_l1_norm_step,step,train_acc_epoch,train_acc_step,train_actual_label_0,train_actual_label_1,train_actual_label_2,train_actual_label_3,train_actual_label_4,train_loss_epoch,train_loss_step_epoch,train_loss_step_step,train_pred_label_0,train_pred_label_1,train_pred_label_2,train_pred_label_3,train_pred_label_4,training_loss_epoch,training_loss_step,val_acc,val_actual_label_0,val_actual_label_1,val_actual_label_2,val_actual_label_3,val_actual_label_4,val_loss,val_pred_label_0,val_pred_label_1,val_pred_label_2,val_pred_label_3,val_pred_label_4
,-9.86625862121582,0,,100.0,0,,0.5609756112098694,0.0,1.0,0.0,0.0,0.0,,,24.5078125,0.0,0.0,0.0,1.0,0.0,,24.5078125,,,,,,,,,,,,
-9.86625862121582,,0,100.0,,0,0.5609756112098694,,,,,,,24.5078125,24.5078125,,,,,,,24.5078125,,,,,,,,,,,,,
,-9.86418342590332,1,,101.95999908447266,1,,0.5121951103210449,1.0,0.0,0.0,0.0,0.0,,,25.735870361328125,1.0,1.0,0.0,0.0,0.0,,25.735870361328125,,,,,,,,,,,,
-9.86418342590332,,1,101.95999908447266,,1,0.5121951103210449,,,,,,,25.735870361328125,25.735870361328125,,,,,,,25.735870361328125,,,,,,,,,,,,,
,-9.863103866577148,2,,101.4443130493164,2,,0.5365853905677795,0.0,0.0,0.0,0.0,0.0,,,24.41254997253418,0.0,1.0,1.0,0.0,0.0,,24.41254997253418,,,,,,,,,,,,
-9.863103866577148,,2,101.4443130493164,,2,0.5365853905677795,,,,,,,24.41254997253418,24.41254997253418,,,,,,,24.41254997253418,,,,,,,,,,,,,
,-9.862834930419922,3,,100.45816040039062,3,,0.5609756112098694,1.0,0.0,0.0,0.0,0.0,,,23.64006805419922,1.0,1.0,0.0,1.0,1.0,,23.64006805419922,,,,,,,,,,,,
-9.862834930419922,,3,100.45816040039062,,3,0.5609756112098694,,,,,,,23.64006805419922,23.64006805419922,,,,,,,23.64006805419922,,,,,,,,,,,,,
,-9.861924171447754,4,,100.4404525756836,4,,0.5609756112098694,0.0,0.0,0.0,0.0,1.0,,,24.147653579711914,0.0,0.0,1.0,1.0,0.0,,24.147653579711914,,,,,,,,,,,,
,,4,,,4,,,,,,,,,,,,,,,,,,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,10.378790855407715,0.0,1.0,0.0,0.0,0.0
-9.861924171447754,,4,100.4404525756836,,4,0.5609756112098694,,,,,,,24.147653579711914,24.147653579711914,,,,,,,24.147653579711914,,,,,,,,,,,,,
,-9.860298156738281,5,,100.58427429199219,5,,0.5609756112098694,1.0,0.0,0.0,0.0,0.0,,,23.974475860595703,1.0,1.0,0.0,0.0,0.0,,23.974475860595703,,,,,,,,,,,,
-9.860298156738281,,5,100.58426666259766,,5,0.5609756112098694,,,,,,,23.974475860595703,23.974475860595703,,,,,,,23.974475860595703,,,,,,,,,,,,,
,-9.858240127563477,6,,100.4801025390625,6,,0.5609756112098694,1.0,0.0,0.0,0.0,1.0,,,23.299022674560547,0.0,0.0,1.0,0.0,0.0,,23.299022674560547,,,,,,,,,,,,
-9.858240127563477,,6,100.4801025390625,,6,0.5609756112098694,,,,,,,23.299022674560547,23.299022674560547,,,,,,,23.299022674560547,,,,,,,,,,,,,
,-9.855998992919922,7,,100.94293975830078,7,,0.5609756112098694,0.0,1.0,1.0,0.0,0.0,,,22.456132888793945,0.0,1.0,0.0,0.0,0.0,,22.456132888793945,,,,,,,,,,,,
-9.855998992919922,,7,100.94293975830078,,7,0.5609756112098694,,,,,,,22.456132888793945,22.456132888793945,,,,,,,22.456132888793945,,,,,,,,,,,,,
,-9.853830337524414,8,,101.43226623535156,8,,0.5365853905677795,1.0,1.0,0.0,0.0,0.0,,,22.39912986755371,0.0,1.0,1.0,0.0,0.0,,22.39912986755371,,,,,,,,,,,,
-9.853830337524414,,8,101.4322738647461,,8,0.5365853905677795,,,,,,,22.39912986755371,22.39912986755371,,,,,,,22.39912986755371,,,,,,,,,,,,,
,-9.85186767578125,9,,101.690673828125,9,,0.5365853905677795,0.0,1.0,1.0,1.0,0.0,,,22.404863357543945,0.0,1.0,1.0,1.0,0.0,,22.404863357543945,,,,,,,,,,,,
,,9,,,9,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,14.699692726135254,0.0,1.0,0.0,0.0,0.0
-9.85186767578125,,9,101.69066619873047,,9,0.5365853905677795,,,,,,,22.404863357543945,22.404863357543945,,,,,,,22.404863357543945,,,,,,,,,,,,,
,-9.850295066833496,10,,101.60256958007812,10,,0.5365853905677795,0.0,1.0,0.0,0.0,1.0,,,21.823965072631836,0.0,1.0,0.0,0.0,1.0,,21.823965072631836,,,,,,,,,,,,
-9.850295066833496,,10,101.60257720947266,,10,0.5365853905677795,,,,,,,21.823965072631836,21.823965072631836,,,,,,,21.823965072631836,,,,,,,,,,,,,
,-9.848915100097656,11,,101.36380767822266,11,,0.5365853905677795,1.0,1.0,1.0,0.0,0.0,,,21.303327560424805,1.0,0.0,0.0,1.0,1.0,,21.303327560424805,,,,,,,,,,,,
-9.848915100097656,,11,101.36380767822266,,11,0.5365853905677795,,,,,,,21.303327560424805,21.303327560424805,,,,,,,21.303327560424805,,,,,,,,,,,,,
,-9.847495079040527,12,,101.18515014648438,12,,0.5365853905677795,0.0,0.0,0.0,0.0,0.0,,,21.243743896484375,0.0,1.0,1.0,0.0,0.0,,21.243743896484375,,,,,,,,,,,,
-9.847495079040527,,12,101.18515014648438,,12,0.5365853905677795,,,,,,,21.243743896484375,21.243743896484375,,,,,,,21.243743896484375,,,,,,,,,,,,,
,-9.845855712890625,13,,101.18896484375,13,,0.5609756112098694,0.0,0.0,0.0,0.0,0.0,,,21.089542388916016,0.0,0.0,1.0,1.0,0.0,,21.089542388916016,,,,,,,,,,,,
-9.845855712890625,,13,101.18896484375,,13,0.5609756112098694,,,,,,,21.089542388916016,21.089542388916016,,,,,,,21.089542388916016,,,,,,,,,,,,,
,-9.844022750854492,14,,101.36396026611328,14,,0.5365853905677795,0.0,1.0,0.0,0.0,1.0,,,20.68973159790039,1.0,1.0,0.0,0.0,1.0,,20.68973159790039,,,,,,,,,,,,
,,14,,,14,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,12.221565246582031,0.0,1.0,0.0,0.0,0.0
-9.844022750854492,,14,101.36396026611328,,14,0.5365853905677795,,,,,,,20.68973159790039,20.68973159790039,,,,,,,20.68973159790039,,,,,,,,,,,,,
,-9.842079162597656,15,,101.6607666015625,15,,0.5365853905677795,0.0,0.0,0.0,0.0,0.0,,,20.16651725769043,1.0,0.0,1.0,0.0,0.0,,20.16651725769043,,,,,,,,,,,,
-9.842079162597656,,15,101.6607666015625,,15,0.5365853905677795,,,,,,,20.16651725769043,20.16651725769043,,,,,,,20.16651725769043,,,,,,,,,,,,,
,-9.840108871459961,16,,102.0217514038086,16,,0.5121951103210449,0.0,0.0,1.0,0.0,1.0,,,19.944129943847656,0.0,1.0,0.0,1.0,0.0,,19.944129943847656,,,,,,,,,,,,
-9.840108871459961,,16,102.02174377441406,,16,0.5121951103210449,,,,,,,19.944129943847656,19.944129943847656,,,,,,,19.944129943847656,,,,,,,,,,,,,
,-9.83830451965332,17,,102.24407958984375,17,,0.5609756112098694,0.0,0.0,1.0,1.0,0.0,,,19.841968536376953,0.0,1.0,0.0,1.0,1.0,,19.841968536376953,,,,,,,,,,,,
-9.83830451965332,,17,102.24407958984375,,17,0.5609756112098694,,,,,,,19.841968536376953,19.841968536376953,,,,,,,19.841968536376953,,,,,,,,,,,,,
,-9.836715698242188,18,,102.2555160522461,18,,0.5365853905677795,0.0,1.0,0.0,0.0,0.0,,,19.444866180419922,1.0,0.0,1.0,0.0,1.0,,19.444866180419922,,,,,,,,,,,,
-9.836715698242188,,18,102.2555160522461,,18,0.5365853905677795,,,,,,,19.444866180419922,19.444866180419922,,,,,,,19.444866180419922,,,,,,,,,,,,,
,-9.835275650024414,19,,102.14136505126953,19,,0.5365853905677795,0.0,0.0,0.0,0.0,1.0,,,18.984052658081055,0.0,0.0,0.0,1.0,0.0,,18.984052658081055,,,,,,,,,,,,
,,19,,,19,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,11.310425758361816,0.0,1.0,0.0,0.0,0.0
-9.835275650024414,,19,102.14136505126953,,19,0.5365853905677795,,,,,,,18.984052658081055,18.984052658081055,,,,,,,18.984052658081055,,,,,,,,,,,,,
,-9.833864212036133,20,,102.01889038085938,20,,0.5365853905677795,0.0,0.0,0.0,0.0,0.0,,,18.813459396362305,0.0,0.0,0.0,0.0,1.0,,18.813459396362305,,,,,,,,,,,,
-9.833864212036133,,20,102.01889038085938,,20,0.5365853905677795,,,,,,,18.813459396362305,18.813459396362305,,,,,,,18.813459396362305,,,,,,,,,,,,,
,-9.832324028015137,21,,102.03864288330078,21,,0.5609756112098694,0.0,0.0,1.0,0.0,0.0,,,18.616914749145508,1.0,0.0,1.0,0.0,1.0,,18.616914749145508,,,,,,,,,,,,
-9.832324028015137,,21,102.03864288330078,,21,0.5609756112098694,,,,,,,18.616914749145508,18.616914749145508,,,,,,,18.616914749145508,,,,,,,,,,,,,
,-9.830657005310059,22,,102.2142562866211,22,,0.5365853905677795,1.0,0.0,1.0,1.0,0.0,,,18.216854095458984,1.0,1.0,0.0,0.0,0.0,,18.216854095458984,,,,,,,,,,,,
-9.830657005310059,,22,102.21426391601562,,22,0.5365853905677795,,,,,,,18.216854095458984,18.216854095458984,,,,,,,18.216854095458984,,,,,,,,,,,,,
,-9.828939437866211,23,,102.48814392089844,23,,0.5609756112098694,1.0,1.0,1.0,1.0,1.0,,,17.870365142822266,0.0,1.0,0.0,0.0,0.0,,17.870365142822266,,,,,,,,,,,,
-9.828939437866211,,23,102.4881362915039,,23,0.5609756112098694,,,,,,,17.870365142822266,17.870365142822266,,,,,,,17.870365142822266,,,,,,,,,,,,,
,-9.827298164367676,24,,102.70706176757812,24,,0.5609756112098694,1.0,1.0,0.0,0.0,0.0,,,17.687530517578125,0.0,1.0,1.0,1.0,0.0,,17.687530517578125,,,,,,,,,,,,
,,24,,,24,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,13.01642894744873,0.0,1.0,0.0,0.0,0.0
-9.827298164367676,,24,102.70706939697266,,24,0.5609756112098694,,,,,,,17.687530517578125,17.687530517578125,,,,,,,17.687530517578125,,,,,,,,,,,,,
,-9.82576847076416,25,,102.8153076171875,25,,0.5609756112098694,1.0,1.0,1.0,0.0,1.0,,,17.429521560668945,0.0,0.0,0.0,1.0,0.0,,17.429521560668945,,,,,,,,,,,,
-9.82576847076416,,25,102.8153076171875,,25,0.5609756112098694,,,,,,,17.429521560668945,17.429521560668945,,,,,,,17.429521560668945,,,,,,,,,,,,,
,-9.824341773986816,26,,102.82087707519531,26,,0.5609756112098694,1.0,1.0,1.0,1.0,1.0,,,17.09442901611328,0.0,0.0,1.0,1.0,0.0,,17.09442901611328,,,,,,,,,,,,
-9.824341773986816,,26,102.82086944580078,,26,0.5609756112098694,,,,,,,17.09442901611328,17.09442901611328,,,,,,,17.09442901611328,,,,,,,,,,,,,
,-9.822973251342773,27,,102.7723388671875,27,,0.5853658318519592,0.0,1.0,0.0,0.0,0.0,,,16.813018798828125,0.0,0.0,0.0,0.0,1.0,,16.813018798828125,,,,,,,,,,,,
-9.822973251342773,,27,102.7723388671875,,27,0.5853658318519592,,,,,,,16.813018798828125,16.813018798828125,,,,,,,16.813018798828125,,,,,,,,,,,,,
,-9.82160758972168,28,,102.76107788085938,28,,0.5365853905677795,0.0,0.0,0.0,0.0,0.0,,,16.614709854125977,1.0,0.0,1.0,0.0,1.0,,16.614709854125977,,,,,,,,,,,,
-9.82160758972168,,28,102.76107788085938,,28,0.5365853905677795,,,,,,,16.614709854125977,16.614709854125977,,,,,,,16.614709854125977,,,,,,,,,,,,,
,-9.820188522338867,29,,102.84241485595703,29,,0.5609756112098694,1.0,0.0,1.0,1.0,1.0,,,16.360088348388672,0.0,0.0,0.0,0.0,0.0,,16.360088348388672,,,,,,,,,,,,
,,29,,,29,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,11.323323249816895,0.0,1.0,0.0,0.0,0.0
-9.820188522338867,,29,102.84241485595703,,29,0.5609756112098694,,,,,,,16.360088348388672,16.360088348388672,,,,,,,16.360088348388672,,,,,,,,,,,,,
,-9.818742752075195,30,,102.9982681274414,30,,0.5609756112098694,0.0,0.0,1.0,1.0,1.0,,,16.07027816772461,0.0,0.0,0.0,0.0,1.0,,16.07027816772461,,,,,,,,,,,,
-9.818742752075195,,30,102.99827575683594,,30,0.5609756112098694,,,,,,,16.07027816772461,16.07027816772461,,,,,,,16.07027816772461,,,,,,,,,,,,,
,-9.817309379577637,31,,103.17918395996094,31,,0.5853658318519592,1.0,0.0,0.0,0.0,0.0,,,15.812117576599121,0.0,1.0,0.0,0.0,0.0,,15.812117576599121,,,,,,,,,,,,
-9.817309379577637,,31,103.17918395996094,,31,0.5853658318519592,,,,,,,15.812117576599121,15.812117576599121,,,,,,,15.812117576599121,,,,,,,,,,,,,
,-9.81591796875,32,,103.3402099609375,32,,0.5853658318519592,1.0,1.0,0.0,0.0,0.0,,,15.570229530334473,1.0,0.0,1.0,0.0,0.0,,15.570229530334473,,,,,,,,,,,,
-9.81591796875,,32,103.3402099609375,,32,0.5853658318519592,,,,,,,15.570229530334473,15.570229530334473,,,,,,,15.570229530334473,,,,,,,,,,,,,
,-9.814565658569336,33,,103.47279357910156,33,,0.5853658318519592,1.0,1.0,1.0,0.0,0.0,,,15.332763671875,0.0,0.0,1.0,1.0,0.0,,15.332763671875,,,,,,,,,,,,
-9.814565658569336,,33,103.4728012084961,,33,0.5853658318519592,,,,,,,15.332763671875,15.332763671875,,,,,,,15.332763671875,,,,,,,,,,,,,
,-9.813262939453125,34,,103.55520629882812,34,,0.6097561120986938,0.0,0.0,0.0,1.0,0.0,,,15.096827507019043,0.0,1.0,0.0,1.0,0.0,,15.096827507019043,,,,,,,,,,,,
,,34,,,34,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,12.049389839172363,0.0,1.0,0.0,0.0,0.0
-9.813262939453125,,34,103.55521392822266,,34,0.6097561120986938,,,,,,,15.096827507019043,15.096827507019043,,,,,,,15.096827507019043,,,,,,,,,,,,,
,-9.812026977539062,35,,103.56208801269531,35,,0.6097561120986938,1.0,0.0,1.0,0.0,0.0,,,14.827730178833008,1.0,1.0,1.0,0.0,0.0,,14.827730178833008,,,,,,,,,,,,
-9.812026977539062,,35,103.56208038330078,,35,0.6097561120986938,,,,,,,14.827730178833008,14.827730178833008,,,,,,,14.827730178833008,,,,,,,,,,,,,
,-9.810845375061035,36,,103.51223754882812,36,,0.5853658318519592,0.0,0.0,0.0,0.0,1.0,,,14.556845664978027,0.0,1.0,0.0,1.0,1.0,,14.556845664978027,,,,,,,,,,,,
-9.810845375061035,,36,103.51224517822266,,36,0.5853658318519592,,,,,,,14.556845664978027,14.556845664978027,,,,,,,14.556845664978027,,,,,,,,,,,,,
,-9.809684753417969,37,,103.46978759765625,37,,0.5853658318519592,1.0,1.0,0.0,0.0,0.0,,,14.374008178710938,0.0,0.0,1.0,1.0,1.0,,14.374008178710938,,,,,,,,,,,,
-9.809684753417969,,37,103.46978759765625,,37,0.5853658318519592,,,,,,,14.374008178710938,14.374008178710938,,,,,,,14.374008178710938,,,,,,,,,,,,,
,-9.808492660522461,38,,103.52206420898438,38,,0.5853658318519592,0.0,0.0,0.0,0.0,1.0,,,14.162857055664062,0.0,0.0,1.0,0.0,1.0,,14.162857055664062,,,,,,,,,,,,
-9.808492660522461,,38,103.52206420898438,,38,0.5853658318519592,,,,,,,14.162857055664062,14.162857055664062,,,,,,,14.162857055664062,,,,,,,,,,,,,
,-9.807281494140625,39,,103.65496826171875,39,,0.6341463327407837,0.0,0.0,0.0,1.0,1.0,,,13.92814826965332,0.0,0.0,0.0,1.0,0.0,,13.92814826965332,,,,,,,,,,,,
,,39,,,39,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,11.174067497253418,0.0,1.0,0.0,0.0,0.0
-9.807281494140625,,39,103.65496063232422,,39,0.6341463327407837,,,,,,,13.92814826965332,13.92814826965332,,,,,,,13.92814826965332,,,,,,,,,,,,,
,-9.806102752685547,40,,103.78597259521484,40,,0.6341463327407837,0.0,0.0,0.0,0.0,0.0,,,13.74619197845459,0.0,0.0,0.0,1.0,0.0,,13.74619197845459,,,,,,,,,,,,
-9.806102752685547,,40,103.78598022460938,,40,0.6341463327407837,,,,,,,13.74619197845459,13.74619197845459,,,,,,,13.74619197845459,,,,,,,,,,,,,
,-9.804983139038086,41,,103.84918212890625,41,,0.6585366129875183,0.0,1.0,1.0,0.0,1.0,,,13.568669319152832,0.0,1.0,1.0,0.0,0.0,,13.568669319152832,,,,,,,,,,,,
-9.804983139038086,,41,103.84918212890625,,41,0.6585366129875183,,,,,,,13.568669319152832,13.568669319152832,,,,,,,13.568669319152832,,,,,,,,,,,,,
,-9.803939819335938,42,,103.81147766113281,42,,0.6341463327407837,1.0,1.0,0.0,0.0,0.0,,,13.34434700012207,0.0,0.0,0.0,0.0,0.0,,13.34434700012207,,,,,,,,,,,,
-9.803939819335938,,42,103.81147766113281,,42,0.6341463327407837,,,,,,,13.34434700012207,13.34434700012207,,,,,,,13.34434700012207,,,,,,,,,,,,,
,-9.802927017211914,43,,103.88589477539062,43,,0.6097561120986938,0.0,0.0,1.0,1.0,0.0,,,13.165521621704102,1.0,0.0,0.0,1.0,1.0,,13.165521621704102,,,,,,,,,,,,
-9.802927017211914,,43,103.88589477539062,,43,0.6097561120986938,,,,,,,13.165521621704102,13.165521621704102,,,,,,,13.165521621704102,,,,,,,,,,,,,
,-9.801908493041992,44,,103.98480224609375,44,,0.6341463327407837,0.0,0.0,0.0,1.0,0.0,,,12.99729061126709,0.0,0.0,1.0,0.0,1.0,,12.99729061126709,,,,,,,,,,,,
,,44,,,44,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,10.074604988098145,0.0,1.0,0.0,0.0,0.0
-9.801908493041992,,44,103.98480224609375,,44,0.6341463327407837,,,,,,,12.99729061126709,12.99729061126709,,,,,,,12.99729061126709,,,,,,,,,,,,,
,-9.800859451293945,45,,103.99000549316406,45,,0.6097561120986938,0.0,0.0,1.0,1.0,1.0,,,12.775897026062012,1.0,0.0,1.0,0.0,0.0,,12.775897026062012,,,,,,,,,,,,
-9.800859451293945,,45,103.99000549316406,,45,0.6097561120986938,,,,,,,12.775897026062012,12.775897026062012,,,,,,,12.775897026062012,,,,,,,,,,,,,
,-9.79983139038086,46,,103.97709655761719,46,,0.6829268336296082,1.0,0.0,1.0,1.0,0.0,,,12.643657684326172,1.0,0.0,1.0,1.0,0.0,,12.643657684326172,,,,,,,,,,,,
-9.79983139038086,,46,103.97709655761719,,46,0.6829268336296082,,,,,,,12.643657684326172,12.643657684326172,,,,,,,12.643657684326172,,,,,,,,,,,,,
,-9.798906326293945,47,,104.10440826416016,47,,0.6585366129875183,1.0,0.0,0.0,1.0,0.0,,,12.429651260375977,1.0,1.0,0.0,1.0,0.0,,12.429651260375977,,,,,,,,,,,,
-9.798906326293945,,47,104.10440826416016,,47,0.6585366129875183,,,,,,,12.429651260375977,12.429651260375977,,,,,,,12.429651260375977,,,,,,,,,,,,,
,-9.798015594482422,48,,104.24596405029297,48,,0.6585366129875183,0.0,0.0,1.0,1.0,0.0,,,12.31755256652832,0.0,0.0,1.0,1.0,1.0,,12.31755256652832,,,,,,,,,,,,
-9.798015594482422,,48,104.24596405029297,,48,0.6585366129875183,,,,,,,12.31755256652832,12.31755256652832,,,,,,,12.31755256652832,,,,,,,,,,,,,
,-9.797077178955078,49,,104.23699951171875,49,,0.707317054271698,1.0,1.0,0.0,1.0,0.0,,,12.119606971740723,1.0,0.0,1.0,1.0,0.0,,12.119606971740723,,,,,,,,,,,,
,,49,,,49,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,10.211678504943848,0.0,1.0,0.0,0.0,0.0
-9.797077178955078,,49,104.23699188232422,,49,0.707317054271698,,,,,,,12.119606971740723,12.119606971740723,,,,,,,12.119606971740723,,,,,,,,,,,,,
,-9.796165466308594,50,,104.22897338867188,50,,0.707317054271698,0.0,1.0,0.0,0.0,0.0,,,12.007120132446289,0.0,1.0,1.0,1.0,0.0,,12.007120132446289,,,,,,,,,,,,
-9.796165466308594,,50,104.22896575927734,,50,0.707317054271698,,,,,,,12.007120132446289,12.007120132446289,,,,,,,12.007120132446289,,,,,,,,,,,,,
,-9.795333862304688,51,,104.33641052246094,51,,0.7317073345184326,0.0,0.0,0.0,0.0,0.0,,,11.832802772521973,0.0,1.0,0.0,0.0,0.0,,11.832802772521973,,,,,,,,,,,,
-9.795333862304688,,51,104.33641052246094,,51,0.7317073345184326,,,,,,,11.832802772521973,11.832802772521973,,,,,,,11.832802772521973,,,,,,,,,,,,,
,-9.79453182220459,52,,104.45881652832031,52,,0.707317054271698,0.0,0.0,1.0,1.0,1.0,,,11.704635620117188,1.0,0.0,0.0,1.0,1.0,,11.704635620117188,,,,,,,,,,,,
-9.79453182220459,,52,104.45881652832031,,52,0.707317054271698,,,,,,,11.704635620117188,11.704635620117188,,,,,,,11.704635620117188,,,,,,,,,,,,,
,-9.793708801269531,53,,104.49896240234375,53,,0.707317054271698,1.0,1.0,1.0,0.0,1.0,,,11.5513334274292,0.0,0.0,1.0,0.0,1.0,,11.5513334274292,,,,,,,,,,,,
-9.793708801269531,,53,104.49896240234375,,53,0.707317054271698,,,,,,,11.5513334274292,11.5513334274292,,,,,,,11.5513334274292,,,,,,,,,,,,,
,-9.79287338256836,54,,104.49073028564453,54,,0.7317073345184326,0.0,1.0,0.0,0.0,1.0,,,11.402193069458008,1.0,0.0,1.0,0.0,0.0,,11.402193069458008,,,,,,,,,,,,
,,54,,,54,,,,,,,,,,,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,9.591158866882324,0.0,1.0,0.0,0.0,0.0
-9.79287338256836,,54,104.49073791503906,,54,0.7317073345184326,,,,,,,11.402193069458008,11.402193069458008,,,,,,,11.402193069458008,,,,,,,,,,,,,
,-9.792074203491211,55,,104.51991271972656,55,,0.7317073345184326,1.0,0.0,0.0,1.0,0.0,,,11.265450477600098,1.0,0.0,1.0,1.0,0.0,,11.265450477600098,,,,,,,,,,,,
-9.792074203491211,,55,104.51991271972656,,55,0.7317073345184326,,,,,,,11.265450477600098,11.265450477600098,,,,,,,11.265450477600098,,,,,,,,,,,,,
